f_grid,d_grid,pwm_izq,pwm_der
60.0,145.0,30.0,130.0
60.0,175.0,143.0,43.0
60.0,180.0,53.0,45.0
60.0,185.0,150.0,-150.0
60.0,200.0,120.0,2.0
60.0,250.0,109.0,3.0
60.0,335.0,64.0,47.0
65.0,-0.0,11.454545454545455,24.363636363636363
65.0,5.0,51.1764705882353,85.4453781512605
65.0,10.0,74.89791183294663,81.5754060324826
65.0,15.0,82.90612244897959,73.40816326530613
65.0,20.0,95.06796116504854,80.27184466019418
65.0,25.0,47.6,49.5
65.0,30.0,112.25,44.875
65.0,35.0,154.66666666666666,-34.0
65.0,40.0,-83.33333333333333,127.33333333333333
65.0,45.0,105.46666666666667,16.266666666666666
65.0,50.0,122.2,-17.0
65.0,55.0,148.0,18.0
65.0,60.0,109.71428571428571,-24.857142857142858
65.0,65.0,113.14285714285714,33.714285714285715
65.0,70.0,127.0,33.75
65.0,75.0,45.5,18.5
65.0,80.0,151.2,-1.6
65.0,85.0,175.0,39.0
65.0,90.0,176.0,38.0
65.0,100.0,133.5,27.5
65.0,105.0,112.66666666666667,21.333333333333332
65.0,115.0,70.0,8.0
65.0,135.0,129.0,17.0
65.0,140.0,143.0,43.0
65.0,160.0,-29.0,19.0
65.0,200.0,74.0,8.0
65.0,260.0,69.0,9.0
65.0,265.0,72.0,8.0
65.0,270.0,69.0,9.0
70.0,-0.0,67.0,103.0
70.0,5.0,54.3780487804878,98.42682926829268
70.0,10.0,75.282722513089,86.0
70.0,15.0,83.95026178010471,76.69371727748691
70.0,20.0,104.72043010752688,71.17204301075269
70.0,25.0,65.8103448275862,22.25862068965517
70.0,30.0,113.0909090909091,71.81818181818181
70.0,35.0,84.0,33.0
70.0,40.0,123.66666666666667,19.0
70.0,45.0,110.0,45.42857142857143
70.0,50.0,112.91666666666667,51.083333333333336
70.0,60.0,117.53333333333333,40.46666666666667
70.0,65.0,124.0,54.0
70.0,70.0,131.0,28.0
70.0,80.0,131.0,15.0
70.0,85.0,138.5,71.5
70.0,95.0,100.0,37.69230769230769
70.0,160.0,-75.33333333333333,-9.333333333333334
70.0,170.0,140.0,46.0
75.0,-0.0,67.0,103.0
75.0,5.0,56.11214953271028,88.3177570093458
75.0,10.0,78.51881720430107,89.61021505376344
75.0,15.0,89.6221198156682,75.90783410138249
75.0,20.0,105.19491525423729,76.04237288135593
75.0,25.0,119.96,67.0
75.0,30.0,120.6,85.0
75.0,35.0,106.66666666666667,-1.3333333333333333
75.0,40.0,21.0,53.0
75.0,45.0,59.285714285714285,53.285714285714285
75.0,50.0,63.416666666666664,76.58333333333333
75.0,55.0,106.0,114.0
75.0,60.0,96.21428571428571,56.642857142857146
75.0,65.0,144.0,34.0
75.0,70.0,82.5,74.5
75.0,75.0,154.0,53.0
75.0,80.0,76.5,68.5
75.0,85.0,134.5,68.5
75.0,90.0,139.66666666666666,41.666666666666664
75.0,95.0,129.25,37.75
75.0,125.0,152.33333333333334,36.333333333333336
75.0,135.0,138.0,48.0
75.0,160.0,134.0,28.0
75.0,170.0,179.0,-13.0
80.0,-0.0,67.0,103.0
80.0,5.0,54.17948717948718,104.6923076923077
80.0,10.0,68.86363636363636,80.16433566433567
80.0,15.0,84.60934182590233,72.09554140127389
80.0,20.0,110.29268292682927,82.0
80.0,25.0,119.3125,78.4375
80.0,35.0,144.0,-6.0
80.0,40.0,146.0,84.0
80.0,50.0,77.0,59.0
80.0,55.0,78.5,30.5
80.0,60.0,125.33333333333333,57.333333333333336
80.0,75.0,133.5,30.5
80.0,80.0,150.0,16.0
80.0,85.0,65.33333333333333,74.66666666666667
80.0,90.0,104.6,35.6
80.0,95.0,98.5,35.5
80.0,100.0,145.5,37.5
80.0,110.0,108.0,32.0
80.0,120.0,153.0,77.0
80.0,125.0,150.0,16.0
80.0,150.0,27.833333333333332,16.5
80.0,155.0,25.5,82.5
80.0,200.0,21.0,121.0
85.0,-0.0,95.0,68.0
85.0,5.0,47.705882352941174,96.41176470588235
85.0,10.0,86.73255813953489,90.00387596899225
85.0,15.0,85.64686468646865,82.26072607260726
85.0,20.0,109.38181818181818,84.2909090909091
85.0,25.0,113.66666666666667,88.33333333333333
85.0,30.0,121.0,95.0
85.0,35.0,65.0,61.0
85.0,45.0,172.0,-52.0
85.0,60.0,116.5,34.5
85.0,70.0,25.0,83.0
85.0,75.0,145.0,31.0
85.0,80.0,-2.0,50.0
85.0,85.0,141.0,32.333333333333336
85.0,90.0,138.0,38.0
85.0,95.0,41.0,3.0
85.0,105.0,-18.0,34.0
85.0,110.0,126.0,36.0
85.0,150.0,-18.0,34.0
85.0,155.0,3.6666666666666665,57.0
90.0,5.0,82.37735849056604,81.39622641509433
90.0,10.0,81.1685393258427,89.84269662921348
90.0,15.0,92.19433198380567,80.582995951417
90.0,20.0,102.05714285714286,65.74285714285715
90.0,25.0,141.1818181818182,71.18181818181819
90.0,30.0,66.25,80.75
90.0,35.0,64.0,82.0
90.0,50.0,94.5,30.5
90.0,55.0,128.6,64.6
90.0,60.0,125.1,31.9
90.0,65.0,114.0,22.0
90.0,75.0,100.71428571428571,40.142857142857146
90.0,80.0,151.4,32.6
90.0,85.0,73.0,83.0
90.0,90.0,63.0,93.0
90.0,245.0,83.0,1.0
95.0,-0.0,44.0,10.0
95.0,5.0,61.333333333333336,88.88888888888889
95.0,10.0,80.72,82.84
95.0,15.0,82.35064935064935,74.1948051948052
95.0,20.0,112.86538461538461,78.21153846153847
95.0,25.0,125.66666666666667,62.111111111111114
95.0,30.0,56.0,105.33333333333333
95.0,35.0,102.5,55.5
95.0,40.0,97.0,91.0
95.0,45.0,130.0,122.0
95.0,55.0,116.0909090909091,42.45454545454545
95.0,60.0,66.0,19.333333333333332
95.0,65.0,127.0,23.0
95.0,70.0,102.42857142857143,33.0
95.0,75.0,94.0,27.333333333333332
95.0,95.0,120.0,25.333333333333332
95.0,110.0,80.0,32.0
95.0,120.0,169.0,63.0
95.0,145.0,72.0,32.0
95.0,170.0,80.0,4.0
95.0,175.0,166.0,38.0
95.0,240.0,72.0,32.0
95.0,245.0,87.0,39.0
95.0,265.0,69.0,15.0
95.0,285.0,62.0,26.0
95.0,385.0,169.0,63.0
95.0,400.0,68.0,20.0
100.0,-0.0,25.6,37.2
100.0,5.0,65.5,86.5
100.0,10.0,69.3452380952381,76.8452380952381
100.0,15.0,94.76704545454545,79.44886363636364
100.0,20.0,110.86792452830188,61.094339622641506
100.0,25.0,110.0,66.9090909090909
100.0,30.0,95.83333333333333,60.166666666666664
100.0,40.0,97.0,73.0
100.0,45.0,58.0,59.0
100.0,55.0,119.33333333333333,52.666666666666664
100.0,60.0,48.833333333333336,11.0
100.0,65.0,123.33333333333333,39.666666666666664
100.0,70.0,70.0,7.2
100.0,75.0,122.0,58.666666666666664
100.0,80.0,88.5,53.5
100.0,85.0,79.0,34.0
100.0,105.0,65.0,53.0
100.0,135.0,65.0,53.0
100.0,160.0,53.0,5.0
100.0,220.0,21.0,-48.0
100.0,240.0,53.0,5.0
105.0,-0.0,103.5,24.5
105.0,5.0,75.23076923076923,100.3076923076923
105.0,10.0,80.37662337662337,72.1948051948052
105.0,15.0,87.92201834862385,73.36238532110092
105.0,20.0,115.15789473684211,62.473684210526315
105.0,25.0,69.58333333333333,30.75
105.0,30.0,88.33333333333333,77.66666666666667
105.0,45.0,123.0,65.0
105.0,50.0,-56.0,170.0
105.0,55.0,-29.0,-177.0
105.0,60.0,79.86363636363636,51.31818181818182
105.0,65.0,62.0,11.333333333333334
105.0,75.0,150.0,-150.0
105.0,85.0,111.0,49.666666666666664
105.0,95.0,117.0,-32.333333333333336
105.0,100.0,123.0,-48.0
105.0,110.0,40.5,-0.16666666666666666
105.0,115.0,162.0,38.0
105.0,135.0,21.0,-48.0
105.0,150.0,89.0,77.0
105.0,160.0,150.0,-150.0
105.0,195.0,81.0,27.0
105.0,200.0,44.0,0.0
105.0,205.0,46.0,2.0
105.0,220.0,21.0,-48.0
105.0,280.0,172.0,50.0
105.0,385.0,102.0,14.0
105.0,415.0,150.0,-150.0
110.0,-0.0,56.0,18.0
110.0,5.0,73.95,104.05
110.0,10.0,85.08771929824562,91.57894736842105
110.0,15.0,93.71969696969697,91.5530303030303
110.0,20.0,102.32142857142857,69.25
110.0,25.0,34.68421052631579,23.31578947368421
110.0,40.0,104.0,72.0
110.0,45.0,26.0,134.0
110.0,60.0,147.0,71.0
110.0,85.0,-54.0,-24.0
110.0,90.0,59.666666666666664,71.0
110.0,95.0,18.666666666666668,48.0
110.0,100.0,-54.0,-24.0
110.0,150.0,172.0,52.0
110.0,155.0,130.5,69.5
110.0,260.0,84.0,86.0
115.0,-0.0,92.0,6.0
115.0,5.0,62.22222222222222,106.66666666666667
115.0,10.0,82.28571428571429,88.42857142857143
115.0,15.0,95.70503597122303,84.02158273381295
115.0,20.0,111.3157894736842,67.52631578947368
115.0,25.0,80.0,66.66666666666667
115.0,30.0,71.0,77.0
115.0,35.0,54.75,42.25
115.0,40.0,81.85714285714286,72.42857142857143
115.0,55.0,89.0,125.0
115.0,60.0,110.42857142857143,35.857142857142854
115.0,65.0,113.0,-21.0
115.0,75.0,25.5,73.5
115.0,85.0,75.25,59.5
115.0,90.0,-62.0,168.0
115.0,105.0,97.0,11.0
115.0,130.0,88.0,-2.0
115.0,145.0,96.8,6.8
115.0,150.0,172.0,52.0
115.0,195.0,92.0,6.0
120.0,-0.0,29.2,9.6
120.0,5.0,53.166666666666664,110.83333333333333
120.0,10.0,80.38095238095238,69.26190476190476
120.0,15.0,78.52525252525253,76.88888888888889
120.0,20.0,75.4054054054054,34.54054054054054
120.0,25.0,95.66666666666667,69.66666666666667
120.0,30.0,9.142857142857142,82.28571428571429
120.0,35.0,74.8,72.0
120.0,40.0,13.5,121.5
120.0,50.0,116.0,-22.0
120.0,60.0,102.0,40.0
120.0,65.0,172.0,52.0
120.0,70.0,164.0,16.0
120.0,75.0,125.0,29.666666666666668
120.0,80.0,163.66666666666666,19.666666666666668
120.0,85.0,98.25,73.75
120.0,90.0,80.66666666666667,74.66666666666667
120.0,140.0,56.5,26.5
120.0,145.0,98.14285714285714,2.4285714285714284
120.0,155.0,172.0,52.0
120.0,160.0,172.0,52.0
120.0,220.0,70.0,52.0
120.0,295.0,58.0,40.0
125.0,5.0,84.29411764705883,111.0
125.0,10.0,89.6590909090909,89.02272727272727
125.0,15.0,84.31506849315069,83.87671232876713
125.0,20.0,68.75,107.08333333333333
125.0,25.0,47.857142857142854,85.0
125.0,30.0,74.88888888888889,65.33333333333333
125.0,35.0,100.0,88.0
125.0,40.0,139.0,47.0
125.0,50.0,74.0,48.0
125.0,60.0,74.66666666666667,-45.333333333333336
125.0,70.0,160.0,10.0
125.0,75.0,94.0,94.0
125.0,80.0,-57.5,170.5
125.0,85.0,123.0,1.0
125.0,95.0,130.0,48.0
125.0,110.0,111.0,-19.0
125.0,155.0,172.0,52.0
130.0,5.0,38.333333333333336,108.0
130.0,10.0,88.48387096774194,98.80645161290323
130.0,15.0,88.38805970149254,84.11940298507463
130.0,20.0,104.0,89.25
130.0,25.0,29.576923076923077,40.26923076923077
130.0,30.0,92.0,78.0
130.0,35.0,81.0,95.0
130.0,45.0,162.5,13.5
130.0,50.0,143.75,27.25
130.0,55.0,175.0,39.0
130.0,60.0,135.25,39.75
130.0,65.0,59.333333333333336,-28.0
130.0,70.0,129.0,-83.0
130.0,75.0,93.25,51.75
130.0,80.0,141.5,78.5
130.0,90.0,143.66666666666666,35.666666666666664
130.0,175.0,178.0,28.0
130.0,180.0,150.0,-150.0
130.0,205.0,150.0,-150.0
135.0,5.0,85.2,115.6
135.0,10.0,81.08108108108108,106.10810810810811
135.0,15.0,93.49295774647888,93.85915492957747
135.0,20.0,115.58333333333333,86.75
135.0,25.0,48.0,72.8
135.0,50.0,112.0,30.0
135.0,55.0,122.66666666666667,36.0
135.0,60.0,104.15384615384616,-57.07692307692308
135.0,65.0,47.333333333333336,10.666666666666666
135.0,70.0,178.0,28.0
135.0,100.0,84.0,66.0
135.0,105.0,-99.5,38.5
135.0,110.0,175.0,39.0
135.0,160.0,180.0,6.0
135.0,170.0,176.0,36.0
135.0,175.0,180.0,6.0
135.0,255.0,103.0,101.0
140.0,-0.0,75.0,8.0
140.0,5.0,83.25,119.25
140.0,10.0,78.72727272727273,89.33333333333333
140.0,15.0,94.05,88.175
140.0,20.0,118.18181818181819,52.60606060606061
140.0,25.0,138.42857142857142,73.85714285714286
140.0,30.0,75.0,105.0
140.0,35.0,130.0,14.0
140.0,40.0,40.0,-40.0
140.0,45.0,121.0,133.0
140.0,50.0,161.0,79.0
140.0,55.0,121.0,133.0
140.0,60.0,77.14814814814815,56.851851851851855
140.0,65.0,150.0,-150.0
140.0,75.0,163.0,77.0
140.0,80.0,101.0,77.66666666666667
140.0,85.0,151.0,52.0
140.0,90.0,133.5,64.5
140.0,95.0,71.0,101.0
140.0,130.0,150.0,-150.0
140.0,165.0,150.0,-150.0
140.0,200.0,30.0,14.0
140.0,220.0,150.0,-150.0
140.0,305.0,150.0,-150.0
145.0,-0.0,-1.3333333333333333,20.666666666666668
145.0,5.0,41.166666666666664,98.16666666666667
145.0,10.0,76.89583333333333,74.4375
145.0,15.0,98.3859649122807,87.29824561403508
145.0,20.0,111.73333333333333,75.2
145.0,25.0,166.0,51.0
145.0,30.0,110.0,142.0
145.0,35.0,174.0,48.0
145.0,50.0,75.66666666666667,100.33333333333333
145.0,60.0,113.125,23.125
145.0,65.0,110.0,40.5
145.0,75.0,172.0,52.0
145.0,85.0,150.0,-150.0
145.0,90.0,160.85714285714286,-53.42857142857143
145.0,95.0,78.44444444444444,75.11111111111111
145.0,100.0,-37.5,29.5
145.0,115.0,-62.0,168.0
145.0,125.0,145.25,12.25
145.0,130.0,176.0,38.0
145.0,140.0,13.0,82.0
145.0,145.0,60.0,-20.0
145.0,150.0,62.0,-14.0
145.0,155.0,154.66666666666666,54.0
145.0,195.0,150.0,-150.0
145.0,200.0,103.0,101.0
145.0,230.0,150.0,-150.0
145.0,255.0,103.0,101.0
145.0,300.0,150.0,-150.0
150.0,-0.0,178.0,24.0
150.0,5.0,57.714285714285715,98.85714285714286
150.0,10.0,69.44444444444444,79.53333333333333
150.0,15.0,104.35416666666667,72.0625
150.0,20.0,128.23529411764707,68.23529411764706
150.0,25.0,127.71428571428571,52.57142857142857
150.0,30.0,174.0,48.0
150.0,35.0,133.0,47.0
150.0,50.0,163.0,28.0
150.0,60.0,117.53846153846153,-41.38461538461539
150.0,65.0,164.33333333333334,-45.666666666666664
150.0,70.0,143.0,25.0
150.0,75.0,64.0,78.0
150.0,80.0,145.0,-20.2
150.0,85.0,139.76190476190476,31.666666666666668
150.0,90.0,135.66666666666666,38.333333333333336
150.0,100.0,-166.0,68.0
150.0,105.0,163.5,41.5
150.0,110.0,128.0,32.0
150.0,120.0,132.75,23.25
150.0,125.0,145.5,-19.0
150.0,140.0,150.0,-150.0
150.0,145.0,147.33333333333334,52.0
150.0,150.0,130.75,68.75
